"id","name","country_id","language_id","region_id","data_value","start_date","end_date","publish_status","view_id","page_url","url_directory","meta_title","meta_description","home_page_id","super_app_id","legacy_template_id","is_mobile","space_between_items","show_on_search_engines","create_date","is_deleted"
3717,[OLD] WEB-BOYS-UA-111225,24,5,1,"{""componentJson"": [{""id"": 7108, ""displayOrder"": 1}]}","2026-02-17 04:40:12","2026-02-23 10:28:11.048555",4,8,"","","","",205,0,117751,false,false,0,"2026-02-17 21:46:07.666398",false
3719,[OLD] WEB-MEN-UA-111225,24,5,1,"{""componentJson"": [{""id"": 7110, ""displayOrder"": 1}]}","2026-02-17 08:54:31.109334","2026-02-23 12:36:27.324899",4,8,"","","","",203,0,117753,false,false,0,"2026-02-17 21:46:07.855277",false
3727,[OLD] WEB-MEN-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7118, ""displayOrder"": 1}]}","2026-02-17 08:56:34.852803","2026-02-23 12:37:04.817469",4,8,"","","","",209,0,117761,false,false,0,"2026-02-17 21:46:08.605524",false
3722,[OLD] APP-BABY-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7113, ""displayOrder"": 1}]}","2026-02-17 07:25:19.164533","2026-02-23 12:54:30.73079",4,8,"","","","",384,1,117756,true,false,0,"2026-02-17 21:46:08.158342",false
3718,[OLD] APP-MEN-UA-111225,24,5,1,"{""componentJson"": [{""id"": 7109, ""displayOrder"": 1}]}","2026-02-17 08:54:27.434195","2026-02-23 13:47:04.841724",4,8,"","","","",375,1,117752,true,false,0,"2026-02-17 21:46:07.748384",false
3726,[OLD] APP-MEN-UARU-111225,24,3,1,"{""componentJson"": [{""id"": 7117, ""displayOrder"": 1}]}","2026-02-17 08:56:29.50787","2026-02-23 13:47:30.47883",4,8,"","","","",381,1,117760,true,false,0,"2026-02-17 21:46:08.522938",false
3739,[OLD] HOME LP,24,5,1,"{""componentJson"": [{""id"": 7152, ""displayOrder"": 1}, {""id"": 7153, ""displayOrder"": 2}]}","2026-01-16 07:15:26.336349","2026-02-24 09:20:45.688177",4,8,home-lp,/katalog,HOME LP,HOME LP,547,0,121868,false,false,0,"2026-02-17 21:46:10.924794",false
3740,[OLD] HOME LP,24,3,1,"{""componentJson"": [{""id"": 7154, ""displayOrder"": 1}, {""id"": 7155, ""displayOrder"": 2}]}","2026-01-16 07:15:47.856286","2026-02-24 09:20:50.512884",4,8,home-lp,/katalog,HOME LP,HOME LP,549,0,121869,false,false,0,"2026-02-17 21:46:11.052377",false
3738,[OLD] APP HOME LP,24,5,1,"{""componentJson"": [{""id"": 7151, ""displayOrder"": 1}]}","2026-01-14 10:55:30.165912","2026-02-24 09:22:37.646859",4,8,home-lp-app,/katalog,APP HOME LP,APP HOME LP,546,1,121867,true,false,0,"2026-02-17 21:46:10.778884",false
3741,[OLD] APP HOME LP,24,3,1,"{""componentJson"": [{""id"": 7156, ""displayOrder"": 1}]}","2026-01-14 10:55:04.454098","2026-02-24 09:22:43.369825",4,8,home-lp-app,/katalog,APP HOME LP,APP HOME LP,548,1,121870,true,false,0,"2026-02-17 21:46:11.138431",false
