"id","display_order","name","viewkey","status_type_id","platform_id","super_app_id","create_user_name","create_date","last_updated_user_name","last_updated_date","language_id","country_id","is_default","title","is_highlighted","old_id","old_status_type_id","old_platform_id","old_super_app_id","fallback_homepage_id"
"83",206,"Men","men-irku",3,1,0,"TANER.CEVHER","2025-09-02 08:48:04.087371","MACIT.ISIK","2026-06-09 07:00:37.476104",13,13,False,"Men",False,"83","3","1","0",NULL
"84",15,"ئافرەتان","women-iq-ku",1,1,0,"TANER.CEVHER","2025-09-02 08:48:19.466104","MACIT.ISIK","2026-06-09 07:00:37.476078",13,13,True,"ئافرەتان",False,"84","1","1","0",NULL
"85",17,"پیاوان","men-iq-ku",1,1,0,"TANER.CEVHER","2025-09-02 08:48:53.449872","MACIT.ISIK","2026-06-09 07:00:37.476078",13,13,False,"پیاوان",False,"85","1","1","0",NULL
"86",18,"منداڵان& کۆرپە","kids-baby-iq-ku",1,1,0,"TANER.CEVHER","2025-09-02 08:49:07.636571","MACIT.ISIK","2026-06-09 07:00:37.476137",13,13,False,"منداڵان& کۆرپە",False,"86","1","1","0",NULL
"87",23,"شوێنی داشکاندنەکان","deal-zone-iq-ku",1,1,0,"TANER.CEVHER","2025-09-02 08:49:22.106651","MACIT.ISIK","2026-06-09 07:00:37.476104",13,13,False,"شوێنی داشکاندنەکان",True,"87","1","1","0",NULL
"88",208,"test","test",3,1,0,"KUBRA.KILIC","2025-09-03 06:04:42.712326","MACIT.ISIK","2026-06-09 07:00:37.476094",13,13,False,"test",False,"88","3","1","0",NULL
"89",209,"test-iq-en","test-iq-en",3,1,0,"KUBRA.KILIC","2025-09-03 06:08:27.811168","MACIT.ISIK","2026-06-09 07:00:37.476112",2,13,False,"test-iq-en",False,"89","3","1","0",NULL
"90",210,"test-iq-ar","test-iq-ar",3,1,0,"KUBRA.KILIC","2025-09-03 06:13:11.354012","MACIT.ISIK","2026-06-09 07:00:37.476112",14,13,False,"test-iq-ar",False,"90","3","1","0",NULL
"91",120,"HOMEPAGE","homepage-bgen",2,1,0,"TANER.CEVHER","2025-09-09 11:11:02.242527","MACIT.ISIK","2026-06-09 07:00:37.476112",2,52,False,"HOMEPAGE",False,"91","1","1","0",NULL
"92",32,"WOMEN","women-bgen",1,1,0,"TANER.CEVHER","2025-09-09 11:11:23.987933","MACIT.ISIK","2026-06-09 07:00:37.476112",2,52,True,"WOMEN",False,"92","1","1","0",NULL
"93",122,"MEN","men-bgen",1,1,0,"TANER.CEVHER","2025-09-09 11:11:33.685827","MACIT.ISIK","2026-06-09 07:00:37.476113",2,52,False,"MEN",False,"93","1","1","0",NULL
"94",123,"KIDS & BABY","kids-baby-bgen",2,1,0,"TANER.CEVHER","2025-09-09 11:11:57.362372","MACIT.ISIK","2026-06-09 07:00:37.476113",2,52,False,"KIDS & BABY",False,"94","1","1","0",NULL
"95",86,"DEAL ZONE","deal-zone-bgen",2,1,0,"TANER.CEVHER","2025-09-09 11:12:09.473955","","2026-06-11 08:34:15.938965",2,52,False,"DEAL ZONE",True,"95","1","1","0",NULL
"96",120,"НАЧАЛНА СТРАНИЦА","homepage-bg",2,1,0,"TANER.CEVHER","2025-09-09 11:12:49.507523","MACIT.ISIK","2026-06-09 07:00:37.476113",11,52,False,"НАЧАЛНА СТРАНИЦА",False,"96","1","1","0",NULL
"97",33,"ЖЕНИ","women-bg",1,1,0,"TANER.CEVHER","2025-09-09 11:13:00.894323","MACIT.ISIK","2026-06-09 07:00:37.47611",11,52,True,"ЖЕНИ",False,"97","1","1","0",NULL
"98",122,"МЪЖЕ","men-bg",1,1,0,"TANER.CEVHER","2025-09-09 11:13:10.553036","MACIT.ISIK","2026-06-09 07:00:37.47611",11,52,False,"МЪЖЕ",False,"98","1","1","0",NULL
"99",123,"ДЕЦА И БЕБЕТА","kids-baby-bg",3,1,0,"TANER.CEVHER","2025-09-09 11:13:30.728133","MACIT.ISIK","2026-06-09 07:00:37.476111",11,52,False,"ДЕЦА И БЕБЕТА",False,"99","1","1","0",NULL
"100",87,"ЗОНА ЗА СДЕЛКИ","deal-zone-bg",2,1,0,"TANER.CEVHER","2025-09-09 11:13:42.274435","","2026-06-11 08:34:36.158627",11,52,False,"ЗОНА ЗА СДЕЛКИ",True,"100","1","1","0",NULL
"101",138,"HOMEPAGE","homepage-gren",2,1,0,"TANER.CEVHER","2025-09-09 13:05:55.642545","MACIT.ISIK","2026-06-09 07:00:37.476111",2,35,False,"HOMEPAGE",False,"101","1","1","0",NULL
"102",16,"WOMEN","women-gren",1,1,0,"TANER.CEVHER","2025-09-09 13:06:05.406902","MACIT.ISIK","2026-06-09 07:00:37.476078",2,35,True,"WOMEN",False,"102","1","1","0",NULL
"103",220,"MEN","men-gren",1,1,0,"TANER.CEVHER","2025-09-09 13:06:15.221361","MACIT.ISIK","2026-06-09 07:00:37.476111",2,35,False,"MEN",False,"103","1","1","0",NULL
"104",221,"KIDS & BABY","kids-baby-gren",1,1,0,"TANER.CEVHER","2025-09-09 13:06:30.154388","MACIT.ISIK","2026-06-09 07:00:37.476111",2,35,False,"KIDS & BABY",False,"104","1","1","0",NULL
"105",73,"DEAL ZONE","deal-zone-gren",2,1,0,"TANER.CEVHER","2025-09-09 13:06:40.588936","","2026-06-11 11:14:37.464145",2,35,False,"DEAL ZONE",True,"105","1","1","0",NULL
"106",137,"ΑΡΧΙΚΗ ΣΕΛΙΔΑ","homepage-gr",2,1,0,"TANER.CEVHER","2025-09-09 13:07:12.853476","MACIT.ISIK","2026-06-09 07:00:37.476113",23,35,False,"ΑΡΧΙΚΗ ΣΕΛΙΔΑ",False,"106","1","1","0",NULL
